user_id,rail_id,area_id,phase
user_1065,rail_1058,area_002,a
user_1066,rail_1058,area_002,a
user_1067,rail_1058,area_002,a
user_1068,rail_1058,area_002,c
user_1069,rail_1058,area_002,a
user_1070,rail_1058,area_002,a
user_1072,rail_1071,area_002,c
user_1073,rail_1071,area_002,a
user_1074,rail_1071,area_002,a
user_1075,rail_1071,area_002,c
user_1076,rail_1071,area_002,c
user_1077,rail_1071,area_002,c
user_1078,rail_1071,area_002,a
user_1079,rail_1071,area_002,c
user_1080,rail_1071,area_002,c
user_1081,rail_1071,area_002,a
user_1082,rail_1071,area_002,c
user_1083,rail_1071,area_002,a
user_1084,rail_1071,area_002,b
user_1085,rail_1071,area_002,c
user_1086,rail_1071,area_002,b
user_1087,rail_1071,area_002,a
user_1089,rail_1088,area_002,c
user_1090,rail_1088,area_002,a
user_1091,rail_1088,area_002,b
user_1092,rail_1088,area_002,a
user_1093,rail_1088,area_002,c
user_1094,rail_1088,area_002,c
user_1095,rail_1088,area_002,b
user_1096,rail_1088,area_002,a
user_1097,rail_1088,area_002,c
user_1098,rail_1088,area_002,b
user_1099,rail_1088,area_002,c
user_1100,rail_1088,area_002,c
user_1101,rail_1088,area_002,a
user_1102,rail_1088,area_002,c
user_1103,rail_1088,area_002,a
user_1104,rail_1088,area_002,c
user_1105,rail_1088,area_002,b
user_1106,rail_1088,area_002,c
user_1107,rail_1088,area_002,a
user_1109,rail_1108,area_002,b
user_1110,rail_1108,area_002,c
user_1111,rail_1108,area_002,c
user_1112,rail_1108,area_002,b
user_1113,rail_1108,area_002,c
user_1114,rail_1108,area_002,c
user_1115,rail_1108,area_002,a
user_1116,rail_1108,area_002,c
user_1117,rail_1108,area_002,c
user_1118,rail_1108,area_002,b
user_1119,rail_1108,area_002,b
user_1120,rail_1108,area_002,a
user_1122,rail_1121,area_003,b
user_1123,rail_1121,area_003,b
user_1124,rail_1121,area_003,a
user_1125,rail_1121,area_003,b
user_1126,rail_1121,area_003,a
user_1127,rail_1121,area_003,a
user_1128,rail_1121,area_003,b
user_1129,rail_1121,area_003,b
user_1130,rail_1121,area_003,b
user_1131,rail_1121,area_003,c
user_1132,rail_1121,area_003,b
user_1133,rail_1121,area_003,c
user_1134,rail_1121,area_003,a
user_1135,rail_1121,area_003,c
user_1136,rail_1121,area_003,b
user_1137,rail_1121,area_003,a
user_1138,rail_1121,area_003,a
user_1139,rail_1121,area_003,a
user_1140,rail_1121,area_003,c
user_1142,rail_1141,area_003,a
user_1143,rail_1141,area_003,a
user_1144,rail_1141,area_003,c
user_1145,rail_1141,area_003,c
user_1146,rail_1141,area_003,b
user_1147,rail_1141,area_003,c
user_1148,rail_1141,area_003,a
user_1149,rail_1141,area_003,b
user_1150,rail_1141,area_003,a
user_1151,rail_1141,area_003,a
user_1152,rail_1141,area_003,c
user_1153,rail_1141,area_003,b
user_1154,rail_1141,area_003,c
user_1155,rail_1141,area_003,c
user_1156,rail_1141,area_003,b
user_1157,rail_1141,area_003,a
user_1159,rail_1158,area_003,a
user_1160,rail_1158,area_003,b
user_1161,rail_1158,area_003,a
user_1162,rail_1158,area_003,b
user_1163,rail_1158,area_003,b
user_1164,rail_1158,area_003,c
user_1165,rail_1158,area_003,b
user_1166,rail_1158,area_003,c
user_1167,rail_1158,area_003,a
user_1168,rail_1158,area_003,a
user_1169,rail_1158,area_003,a
user_1171,rail_1170,area_003,a
user_1172,rail_1170,area_003,c
user_1173,rail_1170,area_003,a
user_1174,rail_1170,area_003,b
user_1175,rail_1170,area_003,b
user_1176,rail_1170,area_003,b
user_1177,rail_1170,area_003,c
user_1178,rail_1170,area_003,a
user_1179,rail_1170,area_003,a
user_1180,rail_1170,area_003,a
user_1181,rail_1170,area_003,c
user_1182,rail_1170,area_003,b
user_1183,rail_1170,area_003,b
user_1184,rail_1170,area_003,a
user_1185,rail_1170,area_003,b
user_1187,rail_1186,area_003,c
user_1188,rail_1186,area_003,c
user_1189,rail_1186,area_003,c
user_1190,rail_1186,area_003,c
user_1191,rail_1186,area_003,a
user_1192,rail_1186,area_003,c
user_1193,rail_1186,area_003,b
user_1194,rail_1186,area_003,a
user_1195,rail_1186,area_003,b
user_1196,rail_1186,area_003,b
user_1197,rail_1186,area_003,b
user_1198,rail_1186,area_003,c
user_1199,rail_1186,area_003,c
user_1201,rail_1200,area_003,a
user_1202,rail_1200,area_003,c
user_1203,rail_1200,area_003,b
user_1204,rail_1200,area_003,a
user_1205,rail_1200,area_003,c
user_1206,rail_1200,area_003,c
user_1207,rail_1200,area_003,c
user_1208,rail_1200,area_003,b
